ID	State	City (nearby)	Latitude	Longitude
1	FL 	Miami	25.411914	-80.496381
2	FL 	Miami	25.448995	-80.444257
3	FL 	Miami	25.494578	-80.394264
25	FL 	Tallahassee	30.44197	-84.196028
